2026-03-10T02:31:02+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES:  | ERR: SSL certificate problem: self signed certificate in certificate chain
2026-03-10T03:45:04+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":14,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773114304,"text":"How much would you like to deposit? (Please type a number, e.g. 50)"}} | ERR: 
2026-03-10T03:45:12+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":16,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773114312,"text":"Great! You want to deposit $500. How would you like to pay?","reply_markup":{"inline_keyboard":[[{"text":"venmo","callback_data":"GATEWAY_1"}],[{"text":"paypal","callback_data":"GATEWAY_2"}]]}}} | ERR: 
2026-03-10T03:45:17+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T03:45:18+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":17,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773114319,"text":"Please send $500 to the following details:\n\nAccount Id: $plopez\n\n\ud83d\udcf8 After sending, please reply to this message with a screenshot of your payment receipt.","entities":[{"offset":12,"length":4,"type":"bold"},{"offset":56,"length":7,"type":"code"},{"offset":68,"length":86,"type":"bold"}]}} | ERR: 
2026-03-10T03:45:59+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":19,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773114360,"text":"\u2705 Receipt uploaded successfully! The Bookie will review it shortly.","reply_markup":{"inline_keyboard":[[{"text":"Back to Menu","callback_data":"MAIN_MENU"}]]}}} | ERR: 
2026-03-10T04:03:05+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T04:03:09+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T04:03:19+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":21,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115400,"text":"Welcome to Rajani's bookie bot!","entities":[{"offset":11,"length":6,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T04:03:21+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T04:03:22+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":22,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115403,"text":"How much would you like to deposit? (Please type a number, e.g. 50)"}} | ERR: 
2026-03-10T04:03:29+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":24,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115409,"text":"Great! You want to deposit $300. How would you like to pay?","reply_markup":{"inline_keyboard":[[{"text":"venmo","callback_data":"GATEWAY_1"}],[{"text":"paypal","callback_data":"GATEWAY_2"}]]}}} | ERR: 
2026-03-10T04:03:31+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T04:03:32+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":25,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115413,"text":"Please send $300 to the following details:\n\nAccount Id: $plopez\n\n\ud83d\udcf8 After sending, please reply to this message with a screenshot of your payment receipt.","entities":[{"offset":12,"length":4,"type":"bold"},{"offset":56,"length":7,"type":"code"},{"offset":68,"length":86,"type":"bold"}]}} | ERR: 
2026-03-10T04:03:46+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":27,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115427,"text":"\u2705 Receipt uploaded successfully! The Bookie will review it shortly.","reply_markup":{"inline_keyboard":[[{"text":"Back to Menu","callback_data":"MAIN_MENU"}]]}}} | ERR: 
2026-03-10T04:03:47+00:00 | TOKEN: 81644488... | METHOD: sendPhoto | RES: {"ok":false,"error_code":400,"description":"Bad Request: chat not found"} | ERR: 
2026-03-10T04:06:14+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":28,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773115575,"text":"\u2705 Deposit Approved!\n$500.00 has been added to your queue/wallet.","entities":[{"offset":2,"length":17,"type":"bold"}]}} | ERR: 
2026-03-10T04:07:56+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":29,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115676,"text":"\u2705 Deposit Approved!\n$500.00 has been added to your queue/wallet.","entities":[{"offset":2,"length":17,"type":"bold"}]}} | ERR: 
2026-03-10T04:08:19+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":30,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","type":"private"},"date":1773115699,"text":"\u2705 Deposit Approved!\n$300.00 has been added to your queue/wallet.","entities":[{"offset":2,"length":17,"type":"bold"}]}} | ERR: 
2026-03-10T04:51:58+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":32,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773118319,"text":"Welcome to Goga's bookie bot!","entities":[{"offset":11,"length":4,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T04:52:11+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":false,"error_code":400,"description":"Bad Request: chat_id is empty"} | ERR: 
2026-03-10T04:53:09+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":34,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773118389,"text":"Welcome to Goga's bookie bot!","entities":[{"offset":11,"length":4,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T04:53:22+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":false,"error_code":400,"description":"Bad Request: chat_id is empty"} | ERR: 
2026-03-10T04:55:40+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":false,"error_code":400,"description":"Bad Request: chat not found"} | ERR: 
2026-03-10T06:28:01+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":36,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773124082,"text":"\u2705 Verification Successful!\nYour Telegram account is now permanently bound to your Bookie profile.\n\nYou may now return to the Web Dashboard and refresh the page to continue your setup.","entities":[{"offset":2,"length":24,"type":"bold"}]}} | ERR: 
2026-03-10T06:28:59+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":38,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773124140,"text":"Welcome to Rajani's bookie bot!","entities":[{"offset":11,"length":6,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T06:29:04+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:29:05+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":39,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773124146,"text":"How much would you like to deposit? (Please type a number, e.g. 50)"}} | ERR: 
2026-03-10T06:29:13+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":41,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773124154,"text":"Great! You want to deposit $50. How would you like to pay?","reply_markup":{"inline_keyboard":[[{"text":"venmo","callback_data":"GATEWAY_1"}],[{"text":"paypal","callback_data":"GATEWAY_2"}]]}}} | ERR: 
2026-03-10T06:29:16+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:29:17+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":42,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773124158,"text":"Please send $50 to the following details:\n\nAccount Id: $perterlopez\n\n\ud83d\udcf8 After sending, please reply to this message with a screenshot of your payment receipt.","entities":[{"offset":12,"length":3,"type":"bold"},{"offset":55,"length":12,"type":"code"},{"offset":72,"length":86,"type":"bold"}]}} | ERR: 
2026-03-10T06:29:34+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":44,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773124175,"text":"\u2705 Receipt uploaded successfully! The Bookie will review it shortly.","reply_markup":{"inline_keyboard":[[{"text":"Back to Menu","callback_data":"MAIN_MENU"}]]}}} | ERR: 
2026-03-10T06:29:35+00:00 | TOKEN: 81644488... | METHOD: sendPhoto | RES: {"ok":true,"result":{"message_id":45,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773124176,"photo":[{"file_id":"AgACAgUAAxkBAAMraa-6Tl22zguSqitOTcMXROV-rnIAAsMOaxuzcXlV2STCWLq5vJUBAAMCAANzAAM6BA","file_unique_id":"AQADww5rG7NxeVV4","file_size":1095,"width":40,"height":90},{"file_id":"AgACAgUAAxkBAAMraa-6Tl22zguSqitOTcMXROV-rnIAAsMOaxuzcXlV2STCWLq5vJUBAAMCAANtAAM6BA","file_unique_id":"AQADww5rG7NxeVVy","file_size":14638,"width":144,"height":320},{"file_id":"AgACAgUAAxkBAAMraa-6Tl22zguSqitOTcMXROV-rnIAAsMOaxuzcXlV2STCWLq5vJUBAAMCAAN4AAM6BA","file_unique_id":"AQADww5rG7NxeVV9","file_size":67538,"width":359,"height":800},{"file_id":"AgACAgUAAxkBAAMraa-6Tl22zguSqitOTcMXROV-rnIAAsMOaxuzcXlV2STCWLq5vJUBAAMCAAN5AAM6BA","file_unique_id":"AQADww5rG7NxeVV-","file_size":128724,"width":574,"height":1280}],"caption":"\ud83d\udea8 New Deposit Request\n\nPlayer: Rajani (@Rajani1708)\nAmount: $50.00","caption_entities":[{"offset":3,"length":19,"type":"bold"},{"offset":32,"length":6,"type":"bold"},{"offset":40,"length":11,"type":"mention"},{"offset":61,"length":6,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\u2705 Approve","callback_data":"APPROVE_DEPOSIT_1"},{"text":"\u274c Reject","callback_data":"REJECT_DEPOSIT_1"}]]}}} | ERR: 
2026-03-10T06:29:49+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:30:03+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:30:04+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:44:29+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":47,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125069,"text":"Welcome to Rajani's bookie bot!","entities":[{"offset":11,"length":6,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T06:44:31+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:44:32+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":48,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125072,"text":"How much would you like to deposit? (Please type a number, e.g. 50)"}} | ERR: 
2026-03-10T06:44:37+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":50,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125078,"text":"Great! You want to deposit $60. How would you like to pay?","reply_markup":{"inline_keyboard":[[{"text":"venmo","callback_data":"GATEWAY_1"}],[{"text":"paypal","callback_data":"GATEWAY_2"}]]}}} | ERR: 
2026-03-10T06:44:39+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:44:40+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":51,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125080,"text":"Please send $60 to the following details:\n\nAccount Id: $perterlopez\n\n\ud83d\udcf8 After sending, please reply to this message with a screenshot of your payment receipt.","entities":[{"offset":12,"length":3,"type":"bold"},{"offset":55,"length":12,"type":"code"},{"offset":72,"length":86,"type":"bold"}]}} | ERR: 
2026-03-10T06:44:51+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":53,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125092,"text":"\u2705 Receipt uploaded successfully! The Bookie will review it shortly.","reply_markup":{"inline_keyboard":[[{"text":"Back to Menu","callback_data":"MAIN_MENU"}]]}}} | ERR: 
2026-03-10T06:44:52+00:00 | TOKEN: 81644488... | METHOD: sendPhoto | RES: {"ok":true,"result":{"message_id":54,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773125093,"photo":[{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAANzAAM6BA","file_unique_id":"AQAD0A5rG7NxeVV4","file_size":1057,"width":40,"height":90},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAANtAAM6BA","file_unique_id":"AQAD0A5rG7NxeVVy","file_size":14790,"width":144,"height":320},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAAN4AAM6BA","file_unique_id":"AQAD0A5rG7NxeVV9","file_size":57628,"width":359,"height":800},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAAN5AAM6BA","file_unique_id":"AQAD0A5rG7NxeVV-","file_size":96194,"width":574,"height":1280}],"caption":"\ud83d\udea8 New Deposit Request\n\nPlayer: Rajani (@Rajani1708)\nAmount: $60.00","caption_entities":[{"offset":3,"length":19,"type":"bold"},{"offset":32,"length":6,"type":"bold"},{"offset":40,"length":11,"type":"mention"},{"offset":61,"length":6,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\u2705 Approve","callback_data":"APPROVE_DEPOSIT_2"},{"text":"\u274c Reject","callback_data":"REJECT_DEPOSIT_2"}]]}}} | ERR: 
2026-03-10T06:44:59+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:45:00+00:00 | TOKEN: 81644488... | METHOD: editMessageCaption | RES: {"ok":true,"result":{"message_id":54,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773125093,"edit_date":1773125101,"photo":[{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAANzAAM6BA","file_unique_id":"AQAD0A5rG7NxeVV4","file_size":1057,"width":40,"height":90},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAANtAAM6BA","file_unique_id":"AQAD0A5rG7NxeVVy","file_size":14790,"width":144,"height":320},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAAN4AAM6BA","file_unique_id":"AQAD0A5rG7NxeVV9","file_size":57628,"width":359,"height":800},{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAAN5AAM6BA","file_unique_id":"AQAD0A5rG7NxeVV-","file_size":96194,"width":574,"height":1280}],"caption":"\ud83d\udea8 New Deposit Request\n\nPlayer: Rajani (@Rajani1708)\nAmount: $60.00\n\nAction: \u2705 Approved","caption_entities":[{"offset":40,"length":11,"type":"mention"},{"offset":69,"length":7,"type":"bold"}]}} | ERR: 
2026-03-10T06:45:01+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":55,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8204776787,"first_name":"Rajani","username":"Rajani1708","type":"private"},"date":1773125102,"text":"\u2705 Deposit Approved!\n$60.00 has been added to your queue/wallet.","entities":[{"offset":2,"length":17,"type":"bold"}]}} | ERR: 
2026-03-10T06:45:17+00:00 | TOKEN: 81644488... | METHOD: getFile | RES: {"ok":true,"result":{"file_id":"AgACAgUAAxkBAAM0aa-94yRdcvzgzHCvqCzgbpJTvDcAAtAOaxuzcXlVW4NOrrX29_cBAAMCAAN5AAM6BA","file_unique_id":"AQAD0A5rG7NxeVV-","file_size":96194,"file_path":"photos/file_0.jpg"}} | ERR: 
2026-03-10T06:55:21+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":57,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":8596579399,"first_name":"Goga","last_name":"Lokhande","username":"Goga1708","type":"private"},"date":1773125722,"text":"\u2705 Verification Successful!\nYour Telegram account is now permanently bound to your Bookie profile.\n\nYou may now return to the Web Dashboard and refresh the page to continue your setup.","entities":[{"offset":2,"length":24,"type":"bold"}]}} | ERR: 
2026-03-10T06:57:07+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":59,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":6876259231,"first_name":"Big Rob - $KIMCHI on Doge","username":"capetillorob","type":"private"},"date":1773125828,"text":"Welcome to Big Rob - $KIMCHI on Doge's bookie bot!","entities":[{"offset":11,"length":10,"type":"bold"},{"offset":21,"length":7,"type":"cashtag"},{"offset":21,"length":7,"type":"bold"},{"offset":28,"length":8,"type":"bold"}],"reply_markup":{"inline_keyboard":[[{"text":"\ud83d\udcb0 Deposit","callback_data":"DEPOSIT"}],[{"text":"\ud83c\udfe7 Withdraw","callback_data":"WITHDRAW"}]]}}} | ERR: 
2026-03-10T06:57:16+00:00 | TOKEN: 81644488... | METHOD: answerCallbackQuery | RES: {"ok":true,"result":true} | ERR: 
2026-03-10T06:57:16+00:00 | TOKEN: 81644488... | METHOD: sendMessage | RES: {"ok":true,"result":{"message_id":60,"from":{"id":8164448894,"is_bot":true,"first_name":"Lbbot_01","username":"Gamerlb01bot"},"chat":{"id":6876259231,"first_name":"Big Rob - $KIMCHI on Doge","username":"capetillorob","type":"private"},"date":1773125837,"text":"How much would you like to deposit? (Please type a number, e.g. 50)"}} | ERR: 
